Security Code,Issuer Name,Security Id,Security Name,Face Value,Industry,Instrument,CurrentPrice,ROCE,StockP/E,EPS,Earningsyield
507155,"Jagatjit Industries Ltd.,",JAGAJITIND,JAGATJIT INDUSTRIES LTD.,10,Breweries & Distilleries,Equity,75.5,13.3,53.1,,
507180,"Kesar Enterprises Ltd.,",KESARENT,KESAR ENTERPRISES LTD.-$,10,Sugar,Equity,110,,11.3,17.4,12.7
507205,Tilaknagar Industries Ltd,TI,TILAKNAGAR INDUSTRIES LTD.-$,10,Breweries & Distilleries,Equity,89,5.98,,-0.2,3.66
507265,Emerald Leisures Limited,EMERALL,Emerald Leisures Ltd,5,Other Leisure Facilities,Equity,99,,,-30.2,-3.72
507300,"Ravalgaon Sugar Farm Ltd.,",RAVALSUGAR,RAVALGAON SUGAR FARM LTD.,50,Sugar,Equity,,,,,
507315,Sakthi Sugars Ltd.,SAKHTISUG,SAKTHI SUGARS LTD.,10,Sugar,Equity,16.8,-7.03,,-14.9,-7.56
507410,Walchandnagar Industries Ltd,WALCHANNAG,WALCHANDNAGAR INDUSTRIES LTD.,2,Diversified,Equity,,,,,
507435,"Khoday India Ltd.,",KHODAY,KHODAY INDIA LTD.-$,10,Breweries & Distilleries,Equity,74.8,-0.48,,-2.57,-0.27
507438,IFB Agro Industries Ltd,IFBAGRO,IFB AGRO INDUSTRIES LTD.,10,Breweries & Distilleries,Equity,861,13.8,11.7,73.4,10.8
507442,Dharani Sugars & Chemicals Ltd,DHARSUGAR,DHARANI SUGARS & CHEMICALS LTD.,10,Sugar,Equity,,,,,
507474,Kothari Fermanatation & Biochem Ltd,KFBL,KOTHARI FERMENTATION & BIOCHEM LTD.,10,Other Food Products,Equity,,,,,
507486,Caprolactam Chemicals ltd.,CAPRO,CAPROLACTAM CHEMICALS LTD.,10,Commodity Chemicals,Equity,,,,,
507488,G.M. Breweries Ltd.,GMBREW,G.M.BREWERIES LTD.,10,Breweries & Distilleries,Equity,,,,,
507490,Rana Sugars Ltd.,RANASUG,RANA SUGARS LTD.,10,Sugar,Equity,,,,,
507498,Piccadily Sugar  & Allied Ltd.,PICCASUG,PICCADILY SUGAR & ALLIED INDUSTRIES LTD.,10,Sugar,Equity,18.3,4.47,17.1,,
507508,Riga Sugar Company Ltd.,RIGASUG,RIGA SUGAR COMPANY LTD.-$,10,Sugar,Equity,,,,,
507514,Som Distilleries & Breweries Ltd.,SDBL,SOM DISTILLERIES & BREWERIES LTD.,5,Breweries & Distilleries,Equity,47.4,-3.95,,,-1.7
507515,"C.J. Gelatine Products Ltd.,",CJGEL,C.J.GELATINE PRODUCTS LTD.,10,Specialty Chemicals,Equity,,,,,
507525,Amrit Corp Limited,AMRITCORP,AMRIT CORP.LTD.-$,10,Packaged Foods,Equity,860,,32.3,11.3,6.01
507526,Associated Alcohols & Breweries Ltd,ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LTD.,10,Breweries & Distilleries,Equity,520,17.5,114,5.92,2.35
507543,Coromandel Agro Products & Oils Ltd,CORAGRO,COROMANDEL AGRO PRODUCTS & OILS LTD.,10,Edible Oils,Equity,,,,,
507552,Foods & Inns Ltd.,FOODSIN,FOODS & INNS LTD.,1,Other Food Products,Equity,121,6.62,43.5,,
507580,"IVP Ltd.,",IVP,IVP LTD.,10,Commodity Chemicals,Equity,,,,,
507598,KOVILPATTI LAKSHMI ROLLER FLOUR MILLS  LTD,KLRFM,Kovilpatti Lakshmi Roller Flour Mills Ltd,10,Other Food Products,Equity,,,,,
507609,"Olympic Oil Industries Ltd.,",OLYOI,OLYMPIC OIL INDUSTRIES LTD.,10,Other Agricultural Products,Equity,,,,,
507621,"Milkfood Ltd.,",MLKFOOD,MILKFOOD LTD.,10,Packaged Foods,Equity,380,5.95,96.3,3.95,3.91
507645,"Polson Ltd.,",POLSON,POLSON LTD.,50,Specialty Chemicals,Equity,13180,,25.6,309,6.77
507663,"Sagar Soya Products Ltd.,",SAGRSOY-B,SAGAR SOYA PRODUCTS LTD.,10,Edible Oils,Equity,,,,,
507685,"Wipro  Ltd.,",WIPRO,WIPRO LTD.,2,IT Consulting & Software,Equity,615,22.1,27.8,,
507690,"Orient Beverages Ltd.,",ORIBEVER,ORIENT BEVERAGES LTD.,10,Non-alcoholic Beverages,Equity,80.9,-5.56,,-24.5,-0.94
507717,Dhanuka Agritech Ltd.,DHANUKA,DHANUKA AGRITECH LTD.,2,Agrochemicals,Equity,750,37.4,17.4,43.1,7.78
507747,"TTK Healthcare Ltd.,",TTKHEALTH,TTK HEALTHCARE LTD.-$,10,Pharmaceuticals,Equity,,,,,
507753,TGV SRAAC LIMITED,TGVSL,TGV Sraac Ltd,10,Commodity Chemicals,Equity,,,,,
507759,Lime Chemicals Ltd.,LIMECHM,LIME CHEMICALS LTD.,10,Commodity Chemicals,Equity,,,,,
507779,Kanpur Plastipack Limited,KANPRPLA,KANPUR PLASTIPACK LTD.,10,Containers & Packaging,Equity,142,19.3,9.08,15.6,13.3
507785,Tainwala Chemicals & Plastics Ltd,TAINWALCHM,TAINWALA CHEMICALS & PLASTICS (INDIA) LTD.,10,Plastic Products,Equity,,,,,
507789,"Jagsonpal Pharmaceuticals Limited,",JAGSNPHARM,JAGSONPAL PHARMACEUTICALS LTD.,5,Pharmaceuticals,Equity,,,,,
507794,Khaitan Chemicals & Fertilizers Ltd,KHAICHEM,KHAITAN CHEMICALS & FERTILIZERS LTD.,1,Fertilizers,Equity,,,,,
507808,United Leasing & Industries Ltd,UNTTEMI,UNITED LEASING & INDUSTRIES LTD.,10,Textiles,Equity,,,,,
507813,"National Oxygen Ltd.,",NOL,NATIONAL OXYGEN LTD.,10,Industrial Gases,Equity,,,,,
507815,Gillette India Ltd.,GILLETTE,GILLETTE INDIA LTD.,10,Personal Products,Equity,,,,,
507817,"Wires & Fabriks (SA) Ltd.,",WIREFABR,WIRES & FABRIKS (SA) LTD.,10,Textiles,Equity,,,,,
507828,ANSAL HOUSING LIMITED,ANSALHSG,Ansal Housing Ltd-$,10,Realty,Equity,9.75,0.35,,-7.88,1.3
507833,"Computer Point Ltd.,",COMPUPN,COMPUTER POINT LTD.,10,Computer Hardware,Equity,,,,,
507836,"Mac Charles (India) Ltd.,",MCCHRLS-B,MAC CHARLES (INDIA) LTD.,10,Hotels,Equity,756,4.11,10.8,69.7,9.54
507852,"Addi Industries Ltd.,",ADDIND,ADDI INDUSTRIES LTD.-$,5,Other Apparels & Accessories,Equity,40.1,-1.78,,23.4,-17.3
